item_id,time_period,category,silhouette,neckline,sleeve_type,hemline,primary_color,secondary_color,pattern,fabric,sustainability_label,price_segment,year,quarter,search_volume,social_mentions,runway_appearances,celebrity_wears,influencer_posts,retail_availability,price_index,units_sold,return_rate,avg_rating,review_count,trend_score,trending_next_quarter
FSH100045,2016-Q3,Accessories,Fitted,Crew,Sleeveless,Mini,Navy,Green,Solid,Polyester,Organic,Mid-Range,2016,Q3,1129,6299,2,4,250,0.51,246.59,273,14.6,3.51,161,47.6,0
FSH100046,2016-Q4,Accessories,Relaxed,Square,Bell,Floor-Length,White,Blue,Abstract,Linen,Organic,Mid-Range,2016,Q4,75,161,2,0,325,0.7,358.73,424,38.7,3.81,139,24.1,0
FSH100047,2023-Q3,Dresses,Structured,Square,Three-Quarter,Maxi,Blue,Grey,Floral,Cotton,Upcycled,Budget,2023,Q3,315,1122,1,2,66,0.19,82.66,816,13.8,4.45,181,32.8,0
FSH100048,2018-Q2,Footwear,Relaxed,Scoop,Long,Mini,Black,Green,Solid,Satin,Conventional,Mid-Range,2018,Q2,2517,527,7,0,40,0.57,360.27,143,40.0,4.05,52,38.7,0
FSH100049,2019-Q1,Tops,Flowy,Crew,Three-Quarter,Knee-Length,Green,Brown,Solid,Linen,Conventional,Mid-Range,2019,Q1,8827,9702,2,2,407,0.19,183.87,186,8.2,3.76,0,31.9,0
FSH100050,2023-Q4,Bottoms,Oversized,Crew,Three-Quarter,Mini,Orange,Brown,Solid,Silk,Conventional,Mid-Range,2023,Q4,2998,2923,1,2,971,0.69,330.14,1401,7.6,4.11,2746,59.0,1
FSH100051,2024-Q4,Accessories,Relaxed,V-Neck,Three-Quarter,Cropped,Grey,None,Floral,Cotton,Conventional,Budget,2024,Q4,413,380,6,0,29,0.89,390.58,160,8.6,3.19,690,53.4,1
FSH100052,2015-Q4,Accessories,Oversized,High-Neck,Long,Mini,Grey,Yellow,Floral,Velvet,Organic,Mid-Range,2015,Q4,4422,32,3,2,36,0.87,71.27,169,38.6,3.87,33,41.3,0
FSH100053,2015-Q2,Tops,Structured,High-Neck,Short,Midi,Navy,Yellow,Tie-Dye,Denim,Recycled,Mid-Range,2015,Q2,655,38,6,2,43,0.84,240.13,148,32.8,4.16,29,36.1,0
FSH100054,2016-Q2,Tops,Oversized,V-Neck,Short,Cropped,Blue,Purple,Striped,Leather,Conventional,Premium,2016,Q2,2736,313,2,2,56,0.59,483.06,185,6.4,4.47,60,44.7,0
FSH100055,2015-Q4,Dresses,Fitted,V-Neck,Short,Mini,Grey,Multi,Floral,Satin,Conventional,Mid-Range,2015,Q4,4280,832,1,3,9,0.58,447.73,475,14.0,4.68,63,42.9,0
FSH100056,2022-Q1,Bottoms,Tailored,Crew,Short,Mini,Purple,Pink,Solid,Denim,Recycled,Mid-Range,2022,Q1,27363,2544,1,2,20,0.13,447.35,2463,1.5,4.78,48,48.7,0
FSH100057,2019-Q2,Dresses,Fitted,High-Neck,Short,Maxi,Navy,White,Floral,Polyester,Conventional,Premium,2019,Q2,1187,34580,3,0,247,0.65,374.45,969,22.5,3.39,11,43.3,0
FSH100058,2021-Q2,Tops,Tailored,Crew,Bell,Mini,Brown,None,Floral,Leather,Conventional,Mid-Range,2021,Q2,6172,299,4,2,340,0.35,169.41,745,6.6,3.11,73,37.2,0
FSH100059,2023-Q2,Dresses,Fitted,Scoop,Short,Floor-Length,White,Yellow,Geometric,Denim,Conventional,Mid-Range,2023,Q2,3153,14138,3,5,20,0.79,410.85,77,3.8,5.0,55,69.4,1
FSH100060,2017-Q2,Tops,Flowy,Scoop,Cap,Floor-Length,Black,Grey,Plaid,Denim,Conventional,Budget,2017,Q2,1736,684,2,0,50,0.17,93.39,1495,16.2,3.51,96,11.8,0
FSH100061,2023-Q4,Dresses,Oversized,V-Neck,Cap,Cropped,Red,Black,Floral,Silk,Recycled,Premium,2023,Q4,171,705,4,0,74,0.39,338.64,340,18.4,3.55,17,41.5,0
FSH100062,2018-Q2,Footwear,Oversized,High-Neck,Bell,Floor-Length,Brown,Purple,Solid,Silk,Recycled,Mid-Range,2018,Q2,11173,445,3,2,35,0.9,344.98,2917,13.6,4.14,55,47.7,0
FSH100063,2022-Q3,Tops,Fitted,Scoop,Bell,Mini,White,Blue,Plaid,Knit,Upcycled,Mid-Range,2022,Q3,11421,814,1,3,198,0.79,351.0,973,16.5,3.74,83,48.0,0
FSH100064,2018-Q3,Tops,Relaxed,High-Neck,Short,Maxi,Black,Grey,Solid,Satin,Conventional,Mid-Range,2018,Q3,14340,311,3,2,766,0.2,192.89,96,8.2,3.87,112,36.4,0
FSH100065,2016-Q4,Footwear,Flowy,High-Neck,Bell,Knee-Length,Beige,Multi,Solid,Leather,Sustainable,Mid-Range,2016,Q4,27471,420,3,3,110,0.74,74.27,154,6.7,4.65,33,45.8,0
FSH100066,2018-Q2,Outerwear,Tailored,Off-Shoulder,Bell,Maxi,White,Black,Plaid,Knit,Conventional,Premium,2018,Q2,1450,6651,4,2,17,0.57,371.52,188,11.9,4.19,48,59.3,1
FSH100067,2020-Q3,Tops,Oversized,Scoop,Long,Maxi,Beige,Brown,Solid,Velvet,Conventional,Premium,2020,Q3,1586,61,2,3,86,0.34,419.45,1028,14.9,4.37,45,60.7,1
FSH100068,2024-Q4,Dresses,Relaxed,Scoop,Three-Quarter,Mini,Orange,Blue,Solid,Leather,Recycled,Mid-Range,2024,Q4,3539,104,3,1,37,0.64,116.66,515,18.9,3.52,22,61.2,1
FSH100069,2020-Q1,Outerwear,Fitted,Crew,Three-Quarter,Knee-Length,Brown,Blue,Solid,Satin,Conventional,Luxury,2020,Q1,4378,249,3,2,702,0.23,343.93,669,13.4,4.62,8,31.9,0
FSH100070,2018-Q4,Tops,Structured,Crew,Long,Floor-Length,Beige,Grey,Striped,Polyester,Conventional,Premium,2018,Q4,6861,7365,2,1,14,0.93,188.53,31,8.1,3.85,9,52.2,1
FSH100071,2019-Q2,Footwear,Relaxed,Square,Cap,Cropped,Navy,Grey,Polka Dot,Denim,Conventional,Luxury,2019,Q2,841,388,2,2,563,0.8,253.22,2320,24.5,3.95,29,25.4,0
FSH100072,2020-Q4,Bottoms,Fitted,High-Neck,Three-Quarter,Floor-Length,Orange,Red,Solid,Wool,Conventional,Premium,2020,Q4,5613,1352,5,4,771,1.0,310.7,1175,9.2,5.0,32,62.6,1
FSH100073,2021-Q2,Tops,Structured,V-Neck,Cap,Cropped,Purple,Yellow,Solid,Silk,Conventional,Mid-Range,2021,Q2,1614,1909,1,5,447,0.83,179.52,1725,9.1,3.37,249,39.4,0
FSH100074,2021-Q1,Bottoms,Oversized,Crew,Sleeveless,Floor-Length,Green,Green,Tie-Dye,Polyester,Upcycled,Budget,2021,Q1,1352,2637,1,3,503,0.83,92.85,11546,15.6,4.46,500,57.1,1
FSH100075,2022-Q1,Outerwear,Fitted,Crew,Three-Quarter,Midi,Beige,Orange,Striped,Polyester,Recycled,Budget,2022,Q1,12132,195,2,4,77,0.71,397.61,256,9.4,4.11,6,57.2,1
FSH100076,2018-Q3,Accessories,Fitted,Square,Sleeveless,Maxi,Grey,Pink,Solid,Cotton,Conventional,Budget,2018,Q3,1282,430,4,1,572,0.67,358.12,324,8.7,4.42,87,52.0,1
FSH100077,2015-Q1,Dresses,Structured,Square,Bell,Maxi,Blue,Brown,Geometric,Satin,Conventional,Mid-Range,2015,Q1,1615,1290,1,3,35,0.98,62.38,183,12.3,4.6,42,47.3,0
FSH100078,2021-Q1,Bottoms,Fitted,High-Neck,Sleeveless,Midi,Pink,Orange,Solid,Velvet,Organic,Premium,2021,Q1,3015,7097,1,2,97,0.63,64.61,1912,17.8,4.46,28,52.4,1
FSH100079,2016-Q3,Dresses,Flowy,Square,Sleeveless,Mini,Brown,Red,Floral,Wool,Recycled,Mid-Range,2016,Q3,4918,2381,0,3,34,0.56,72.87,1165,7.2,4.06,212,34.5,0
FSH100080,2017-Q1,Bottoms,Relaxed,Scoop,Sleeveless,Cropped,Black,Brown,Solid,Cotton,Conventional,Budget,2017,Q1,3521,7009,3,6,23,0.58,321.79,429,10.9,3.89,2460,49.2,0
FSH100081,2020-Q4,Accessories,Fitted,Crew,Short,Floor-Length,Orange,White,Solid,Linen,Organic,Premium,2020,Q4,590,355,2,1,32,0.64,258.14,30,33.7,4.13,199,44.8,0
FSH100082,2015-Q1,Tops,Flowy,V-Neck,Short,Cropped,Yellow,Black,Striped,Denim,Recycled,Budget,2015,Q1,662,4454,1,0,849,0.56,62.27,89,27.4,2.76,39,30.5,0
FSH100083,2016-Q4,Accessories,Oversized,High-Neck,Bell,Midi,Beige,White,Solid,Denim,Recycled,Budget,2016,Q4,1633,1266,3,5,875,0.78,434.33,344,7.7,4.71,57,64.2,1
FSH100084,2020-Q4,Outerwear,Relaxed,Scoop,Long,Midi,Orange,Navy,Solid,Velvet,Sustainable,Mid-Range,2020,Q4,1756,7889,5,2,219,0.15,367.48,192,13.7,4.53,563,64.8,1
FSH100085,2017-Q3,Accessories,Oversized,Off-Shoulder,Three-Quarter,Floor-Length,Grey,White,Animal Print,Silk,Sustainable,Budget,2017,Q3,22880,746,3,2,161,0.91,261.62,700,34.5,4.55,10,61.2,1
FSH100086,2019-Q1,Footwear,Fitted,V-Neck,Long,Midi,Orange,Black,Striped,Leather,Organic,Mid-Range,2019,Q1,2984,1162,2,4,65,0.14,309.32,23,6.0,4.13,248,50.4,0
FSH100087,2016-Q4,Dresses,Structured,Square,Sleeveless,Knee-Length,Orange,Green,Geometric,Wool,Upcycled,Mid-Range,2016,Q4,374,5727,6,1,143,0.7,200.29,23,9.6,3.88,8,45.1,0
FSH100088,2023-Q3,Tops,Relaxed,Scoop,Long,Maxi,White,Red,Solid,Knit,Organic,Luxury,2023,Q3,1082,87,6,3,137,0.85,356.05,346,28.6,4.48,1062,73.4,1
FSH100089,2023-Q3,Tops,Structured,High-Neck,Short,Cropped,Navy,White,Floral,Denim,Organic,Mid-Range,2023,Q3,1992,53,4,1,26,0.54,67.79,45,20.1,3.96,579,63.1,1
FSH100090,2023-Q1,Dresses,Structured,Off-Shoulder,Cap,Mini,Navy,None,Solid,Denim,Conventional,Budget,2023,Q1,5072,68,2,4,31,0.43,376.05,949,11.9,3.73,7,40.6,0
FSH100091,2016-Q1,Bottoms,Structured,Square,Bell,Knee-Length,Black,Beige,Solid,Velvet,Conventional,Budget,2016,Q1,9485,559,3,2,308,0.77,431.97,3366,13.0,4.13,716,41.4,0
FSH100092,2024-Q3,Bottoms,Flowy,Square,Cap,Maxi,Beige,Navy,Solid,Knit,Conventional,Mid-Range,2024,Q3,10610,2162,4,1,435,0.21,490.37,2120,9.0,4.27,51,44.8,0
FSH100093,2021-Q4,Accessories,Structured,V-Neck,Bell,Knee-Length,Beige,Pink,Solid,Linen,Sustainable,Mid-Range,2021,Q4,1704,1790,5,2,23,0.18,364.03,245,23.4,3.8,1102,44.2,0
FSH100094,2016-Q3,Bottoms,Oversized,Crew,Cap,Maxi,Navy,Navy,Solid,Knit,Conventional,Mid-Range,2016,Q3,32387,439,3,2,36,0.15,237.78,78,20.7,3.72,13,31.7,0
FSH100095,2017-Q1,Footwear,Relaxed,Crew,Cap,Midi,Navy,Grey,Solid,Wool,Recycled,Budget,2017,Q1,693,9578,4,0,89,0.56,285.42,38,2.1,3.38,88,38.5,0
FSH100096,2016-Q4,Accessories,Fitted,V-Neck,Cap,Mini,Black,Orange,Abstract,Denim,Recycled,Premium,2016,Q4,592,428,2,7,79,0.74,55.51,336,31.1,3.91,54,66.5,1
FSH100097,2017-Q4,Footwear,Flowy,Crew,Three-Quarter,Midi,White,Orange,Solid,Velvet,Organic,Mid-Range,2017,Q4,28487,7705,5,2,13,0.84,197.11,623,24.4,3.67,6,46.8,0
FSH100098,2023-Q2,Tops,Flowy,High-Neck,Sleeveless,Cropped,Navy,None,Solid,Linen,Sustainable,Budget,2023,Q2,1377,3754,0,2,244,0.46,116.34,1930,8.9,3.94,40,60.2,1
FSH100099,2023-Q1,Bottoms,Relaxed,V-Neck,Short,Cropped,Purple,Brown,Solid,Cotton,Recycled,Mid-Range,2023,Q1,5783,558,1,4,544,0.49,386.95,85,0.8,4.31,378,49.6,0
FSH100100,2020-Q3,Tops,Flowy,V-Neck,Cap,Cropped,Orange,Green,Floral,Velvet,Organic,Mid-Range,2020,Q3,641,7238,2,2,1023,0.46,391.72,80,7.2,4.45,916,36.5,0
FSH100101,2020-Q4,Tops,Structured,Square,Three-Quarter,Cropped,Navy,Multi,Floral,Linen,Sustainable,Luxury,2020,Q4,595,25,4,2,56,0.5,404.89,301,18.3,3.93,8,49.6,0
FSH100102,2024-Q1,Tops,Oversized,Crew,Short,Knee-Length,Blue,Navy,Floral,Wool,Sustainable,Mid-Range,2024,Q1,17396,185,1,1,101,0.18,298.71,377,8.2,3.92,52,46.6,0
FSH100103,2023-Q3,Footwear,Fitted,Square,Cap,Mini,Grey,Grey,Geometric,Linen,Conventional,Mid-Range,2023,Q3,1265,2184,3,2,555,0.44,429.26,1259,28.3,3.07,1061,46.0,0
FSH100104,2024-Q4,Bottoms,Relaxed,V-Neck,Bell,Mini,Pink,Beige,Solid,Knit,Organic,Mid-Range,2024,Q4,504,5244,4,4,12,0.7,310.27,123,14.3,3.35,18,70.6,1
FSH100105,2020-Q2,Bottoms,Structured,Off-Shoulder,Bell,Cropped,Brown,White,Animal Print,Velvet,Sustainable,Premium,2020,Q2,4824,21,2,2,40,0.36,265.99,135,8.7,3.84,206,47.0,0
FSH100106,2021-Q3,Accessories,Fitted,V-Neck,Sleeveless,Maxi,Yellow,Black,Solid,Denim,Recycled,Budget,2021,Q3,974,189,2,0,14,0.11,352.81,963,9.6,3.87,38,44.7,0
FSH100107,2023-Q3,Dresses,Oversized,Crew,Long,Midi,White,White,Solid,Silk,Organic,Mid-Range,2023,Q3,27376,2692,3,3,264,0.6,210.36,19,3.7,3.95,396,72.5,1
FSH100108,2015-Q1,Bottoms,Tailored,Crew,Bell,Cropped,Black,White,Striped,Wool,Sustainable,Premium,2015,Q1,3130,237,0,2,77,0.57,403.28,836,27.6,3.73,57,45.1,0
FSH100109,2023-Q3,Footwear,Structured,Crew,Bell,Maxi,Blue,Pink,Striped,Denim,Conventional,Luxury,2023,Q3,4025,1369,4,2,109,0.26,51.6,2609,7.0,4.01,13,41.8,0
FSH100110,2024-Q1,Dresses,Oversized,Crew,Bell,Floor-Length,Pink,Beige,Solid,Leather,Conventional,Premium,2024,Q1,13214,458,3,5,1143,0.26,82.54,546,3.3,4.95,657,68.2,1
FSH100111,2018-Q2,Outerwear,Oversized,High-Neck,Bell,Mini,Navy,Multi,Striped,Cotton,Sustainable,Budget,2018,Q2,23149,3154,4,2,77,0.21,120.84,53,40.0,3.81,16,59.0,1
FSH100112,2015-Q3,Tops,Fitted,Crew,Sleeveless,Midi,Orange,Beige,Solid,Linen,Conventional,Mid-Range,2015,Q3,9845,3171,4,2,206,0.79,167.79,1561,9.1,5.0,138,52.1,1
FSH100113,2015-Q1,Footwear,Tailored,Off-Shoulder,Sleeveless,Mini,Grey,Beige,Solid,Polyester,Sustainable,Luxury,2015,Q1,997,782,1,5,96,0.7,96.36,645,6.0,3.4,104,63.3,1
FSH100114,2016-Q1,Tops,Tailored,V-Neck,Cap,Mini,Navy,Red,Floral,Silk,Sustainable,Budget,2016,Q1,2197,153,2,2,12,0.89,194.01,1739,5.7,4.66,8,43.9,0
FSH100115,2021-Q2,Tops,Structured,Scoop,Bell,Knee-Length,Brown,Brown,Striped,Wool,Organic,Luxury,2021,Q2,4437,415,3,2,64,0.46,322.97,433,19.8,4.35,15,49.1,0
FSH100116,2018-Q2,Bottoms,Fitted,Scoop,Long,Midi,Grey,None,Animal Print,Denim,Upcycled,Budget,2018,Q2,1866,3008,3,2,187,0.1,439.26,1007,8.5,3.33,82,38.0,0
FSH100117,2024-Q3,Dresses,Relaxed,High-Neck,Long,Knee-Length,Navy,Green,Plaid,Linen,Organic,Mid-Range,2024,Q3,2779,3414,2,2,283,0.15,350.04,1105,4.0,3.37,29,51.0,0
FSH100118,2021-Q3,Tops,Relaxed,Scoop,Short,Floor-Length,Black,Orange,Floral,Satin,Organic,Budget,2021,Q3,567,3067,3,3,35,0.28,301.44,255,8.5,3.89,51,54.3,1
FSH100119,2017-Q1,Tops,Oversized,Crew,Three-Quarter,Cropped,Grey,Red,Solid,Linen,Conventional,Premium,2017,Q1,2628,4341,1,3,285,0.73,77.04,207,26.1,4.33,17,62.5,1
FSH100120,2018-Q3,Tops,Relaxed,Scoop,Bell,Midi,Black,Black,Plaid,Polyester,Conventional,Premium,2018,Q3,6027,2469,2,2,232,0.46,84.61,14,10.7,3.82,148,23.6,0
FSH100121,2018-Q3,Bottoms,Structured,Off-Shoulder,Short,Maxi,Red,Green,Tie-Dye,Cotton,Conventional,Mid-Range,2018,Q3,2048,803,3,3,23,0.1,215.15,374,4.4,4.16,209,42.4,0
FSH100122,2021-Q2,Bottoms,Oversized,Square,Cap,Mini,White,Multi,Abstract,Velvet,Sustainable,Budget,2021,Q2,21911,3913,3,2,124,0.79,401.58,42,22.8,3.58,614,53.0,1
FSH100123,2018-Q1,Bottoms,Fitted,Crew,Long,Mini,Orange,Brown,Solid,Cotton,Conventional,Mid-Range,2018,Q1,1485,1688,2,1,140,0.38,223.71,11731,20.4,4.15,85,23.7,0
FSH100124,2022-Q4,Outerwear,Flowy,Scoop,Sleeveless,Knee-Length,Black,Purple,Floral,Knit,Sustainable,Budget,2022,Q4,3337,3302,4,5,122,0.55,356.21,394,11.8,3.72,121,72.2,1
